idVenta,fecha,idCliente,nombreCliente,cantidadProductos,totalVentas
1048,2024-03-28,C010,Carlos Montes,2,29.98
1049,2024-02-26,C017,Lucía Ortiz,1,149.99
1050,2024-03-14,C016,George Hill,6,1794.0
1051,2024-03-04,C008,Robert Brown,8,3199.92
1052,2024-01-17,C013,Patricia Sánchez,2,29.98
1053,2024-03-13,C010,Carlos Montes,4,239.96
1054,2024-01-02,C032,Jorge Collins,3,179.97
1055,2024-03-11,C031,Nuria Sandoval,7,1049.93
1056,2024-02-22,C018,Raymond Green,10,255.0
1057,2024-02-17,C004,James Johnson,8,204.0
1058,2024-02-28,C018,Raymond Green,4,239.96
1059,2024-01-26,C045,Carmen Reyes,6,95.94
1060,2024-02-21,C033,Melissa Woods,4,999.96
1061,2024-01-03,C040,Joseph Edwards,7,1049.93
1062,2024-02-24,C005,Diana Palacios,5,599.9499999999999
1063,2024-01-16,C025,Elena Torres,9,112.5
1064,2024-01-24,C036,Ryan Hughes,2,79.98
1065,2024-02-03,C016,George Hill,8,6392.0
1066,2024-01-10,C022,David Miller,8,479.92
1067,2024-03-27,C038,Tom Sanders,4,1199.96
1068,2024-03-07,C022,David Miller,4,1199.96
1069,2024-01-21,C007,Karen Soto,3,897.0
1070,2024-02-20,C007,Karen Soto,10,2990.0
1071,2024-01-17,C025,Elena Torres,8,79.92
1072,2024-01-15,C035,Luciana Ramos,2,299.98
1073,2024-01-13,C002,John Smith,10,2990.0
1074,2024-01-26,C011,Nicole Díaz,5,749.95
1075,2024-02-13,C035,Luciana Ramos,7,1259.93
1076,2024-01-20,C046,Louis Kelly,8,287.92
1077,2024-02-29,C017,Lucía Ortiz,6,95.94
1078,2024-01-26,C014,Daniel Walker,4,599.96
1079,2024-03-31,C013,Patricia Sánchez,1,799.0
1080,2024-01-20,C027,Lorena Ramos,6,359.94
1081,2024-02-26,C018,Raymond Green,8,3199.92
1082,2024-01-09,C009,Isabel Ruiz,3,179.97
1083,2024-02-18,C036,Ryan Hughes,6,594.0
1084,2024-03-07,C049,Rebeca Ponce,10,99.9
1085,2024-01-21,C031,Nuria Sandoval,5,179.95000000000002
1086,2024-01-16,C030,Eduardo Freeman,4,719.96
1087,2024-02-24,C027,Lorena Ramos,5,1249.95
1088,2024-02-08,C018,Raymond Green,5,1249.95
1089,2024-02-24,C028,Arthur Wright,6,2399.94
1090,2024-03-17,C013,Patricia Sánchez,9,134.91
1091,2024-03-24,C019,Karina Vega,10,1199.8999999999999
1092,2024-02-14,C018,Raymond Green,6,153.0
1093,2024-01-29,C038,Tom Sanders,6,1019.94
1094,2024-02-19,C036,Ryan Hughes,4,679.96
1095,2024-01-22,C033,Melissa Woods,3,107.97
1096,2024-01-06,C014,Daniel Walker,8,100.0
1097,2024-02-13,C040,Joseph Edwards,8,159.92
1098,2024-03-23,C031,Nuria Sandoval,1,179.99
1099,2024-02-05,C050,Miguel Cook,7,5593.0
1100,2024-03-30,C009,Isabel Ruiz,9,1529.91
1101,2024-02-04,C001,Ana Martínez,7,419.93
1102,2024-01-09,C048,Steven Howard,1,99.0
1103,2024-01-21,C040,Joseph Edwards,9,891.0
1104,2024-03-09,C035,Luciana Ramos,5,299.95
1105,2024-01-09,C006,Juan López,1,179.99
1106,2024-03-27,C010,Carlos Montes,10,149.9
1107,2024-03-31,C010,Carlos Montes,5,1999.95
1108,2024-01-15,C037,Cecilia Díaz,5,3995.0
1109,2024-03-01,C014,Daniel Walker,8,287.92
1110,2024-02-23,C022,David Miller,6,239.94
1111,2024-02-09,C050,Miguel Cook,5,74.95
1112,2024-01-15,C016,George Hill,2,499.98
1113,2024-01-04,C050,Miguel Cook,6,153.0
1114,2024-02-19,C013,Patricia Sánchez,2,598.0
1115,2024-02-14,C004,James Johnson,6,1799.94
1116,2024-03-24,C002,John Smith,2,29.98
1117,2024-01-19,C017,Lucía Ortiz,10,399.90000000000003
1118,2024-03-16,C030,Eduardo Freeman,6,4794.0
1119,2024-01-13,C037,Cecilia Díaz,2,799.98
1120,2024-02-22,C013,Patricia Sánchez,6,119.94
1121,2024-02-25,C013,Patricia Sánchez,8,159.92
1122,2024-02-02,C003,María Gutiérrez,8,792.0
1123,2024-03-01,C020,Henry Phillips,2,39.98
1124,2024-02-11,C030,Eduardo Freeman,6,89.94
1125,2024-02-01,C020,Henry Phillips,1,25.5
1126,2024-03-30,C049,Rebeca Ponce,2,1598.0
1127,2024-02-12,C005,Diana Palacios,9,143.91
1128,2024-02-08,C001,Ana Martínez,6,89.94
1129,2024-02-22,C006,Juan López,4,396.0
1130,2024-02-22,C040,Joseph Edwards,4,50.0
1131,2024-03-22,C007,Karen Soto,2,1598.0
1132,2024-03-22,C019,Karina Vega,2,359.98
1133,2024-01-29,C013,Patricia Sánchez,9,539.91
1134,2024-03-22,C034,Andrés Flores,3,119.97
1135,2024-03-20,C018,Raymond Green,1,119.99
1136,2024-01-21,C006,Juan López,10,3999.9
1137,2024-01-17,C050,Miguel Cook,1,15.99
1138,2024-01-19,C050,Miguel Cook,5,1999.95
1139,2024-01-11,C032,Jorge Collins,7,87.5
1140,2024-01-05,C044,Chris Butler,4,479.96
1141,2024-01-03,C015,Sonia Reyes,4,396.0
1142,2024-03-03,C022,David Miller,6,59.94
1143,2024-03-12,C026,Aaron Stewart,6,95.94
1144,2024-01-19,C047,Paula Vivas,7,2799.9300000000003
1145,2024-02-02,C034,Andrés Flores,2,31.98
1146,2024-01-01,C016,George Hill,6,1799.94
1147,2024-02-15,C004,James Johnson,4,159.96
1148,2024-02-06,C043,Raquel Martín,2,299.98
1149,2024-02-06,C034,Andrés Flores,9,2691.0
1150,2024-01-19,C037,Cecilia Díaz,5,49.95
1151,2024-02-08,C034,Andrés Flores,5,1999.95
1152,2024-02-02,C007,Karen Soto,1,15.99
1153,2024-01-28,C047,Paula Vivas,6,89.94
1154,2024-01-14,C015,Sonia Reyes,7,69.93
1155,2024-03-23,C045,Carmen Reyes,1,299.99
1156,2024-03-21,C001,Ana Martínez,2,25.0
1157,2024-01-04,C044,Chris Butler,1,119.99
1158,2024-01-21,C023,Sofía Aguilar,5,62.5
1159,2024-01-20,C029,Beatriz Delgado,4,239.96
1160,2024-03-08,C040,Joseph Edwards,9,539.91
1161,2024-02-06,C033,Melissa Woods,5,749.95
1162,2024-02-19,C005,Diana Palacios,8,79.92
1163,2024-01-14,C050,Miguel Cook,2,29.98
1164,2024-02-03,C030,Eduardo Freeman,2,119.98
1165,2024-01-29,C046,Louis Kelly,2,25.0
1166,2024-03-18,C029,Beatriz Delgado,5,299.95
1167,2024-01-26,C016,George Hill,10,149.9
1168,2024-02-12,C038,Tom Sanders,5,1495.0
1169,2024-02-10,C022,David Miller,5,495.0
1170,2024-01-07,C017,Lucía Ortiz,3,179.97
1171,2024-03-01,C028,Arthur Wright,5,199.95000000000002
1172,2024-02-07,C014,Daniel Walker,9,179.91
1173,2024-02-03,C001,Ana Martínez,3,297.0
1174,2024-01-19,C014,Daniel Walker,10,1199.8999999999999
1175,2024-02-21,C014,Daniel Walker,5,1999.95
1176,2024-03-09,C005,Diana Palacios,9,89.91
1177,2024-01-24,C041,Elisa Méndez,5,74.95
1178,2024-03-03,C034,Andrés Flores,3,539.97
1179,2024-02-17,C045,Carmen Reyes,8,479.92
1180,2024-01-28,C008,Robert Brown,6,95.94
1181,2024-03-03,C043,Raquel Martín,1,299.99
1182,2024-01-19,C044,Chris Butler,1,19.99
1183,2024-03-15,C032,Jorge Collins,7,2099.9300000000003
1184,2024-02-07,C016,George Hill,9,229.5
1185,2024-01-03,C033,Melissa Woods,7,2099.9300000000003
1186,2024-01-22,C038,Tom Sanders,6,1079.94
1187,2024-01-29,C046,Louis Kelly,3,59.97
1188,2024-03-08,C009,Isabel Ruiz,1,169.99
1189,2024-02-27,C031,Nuria Sandoval,1,179.99
1190,2024-03-21,C006,Juan López,5,199.95000000000002
1191,2024-03-09,C036,Ryan Hughes,5,899.95
1192,2024-03-22,C024,Paul Carter,10,1499.9
1193,2024-03-12,C029,Beatriz Delgado,7,839.93
1194,2024-02-14,C032,Jorge Collins,2,299.98
1195,2024-02-28,C019,Karina Vega,3,297.0
1196,2024-02-08,C042,Ethan Perry,1,59.99
1197,2024-03-28,C010,Carlos Montes,3,179.97
1198,2024-01-05,C012,Michael Davis,5,99.94999999999999
1199,2024-03-25,C015,Sonia Reyes,6,899.94
1200,2024-01-01,C039,Valeria Vidal,4,239.96
1201,2024-01-06,C028,Arthur Wright,2,119.98
1202,2024-01-27,C002,John Smith,2,599.98
1203,2024-03-11,C033,Melissa Woods,9,2691.0
1204,2024-02-28,C014,Daniel Walker,3,297.0
1205,2024-02-15,C002,John Smith,4,50.0
1206,2024-03-28,C016,George Hill,7,87.5
1207,2024-02-22,C030,Eduardo Freeman,3,297.0
1208,2024-03-28,C034,Andrés Flores,5,99.94999999999999
1209,2024-01-27,C046,Louis Kelly,9,89.91
1210,2024-01-27,C042,Ethan Perry,9,891.0
1211,2024-02-23,C001,Ana Martínez,1,59.99
1212,2024-03-18,C042,Ethan Perry,10,7990.0
1213,2024-02-17,C030,Eduardo Freeman,2,599.98
1214,2024-01-26,C010,Carlos Montes,7,87.5
1215,2024-03-28,C045,Carmen Reyes,5,199.95000000000002
1216,2024-03-03,C042,Ethan Perry,3,539.97
1217,2024-01-06,C014,Daniel Walker,3,297.0
1218,2024-01-13,C018,Raymond Green,4,239.96
1219,2024-02-26,C008,Robert Brown,10,1499.9
1220,2024-01-30,C045,Carmen Reyes,6,359.94
1221,2024-01-05,C049,Rebeca Ponce,8,479.92
1222,2024-01-14,C020,Henry Phillips,10,990.0
1223,2024-01-01,C050,Miguel Cook,5,127.5
1224,2024-01-20,C003,María Gutiérrez,7,279.93
1225,2024-02-07,C047,Paula Vivas,3,899.97
1226,2024-01-29,C031,Nuria Sandoval,7,1189.93
1227,2024-03-01,C030,Eduardo Freeman,6,59.94
1228,2024-03-10,C018,Raymond Green,1,9.99
1229,2024-03-02,C016,George Hill,5,1999.95
1230,2024-01-28,C024,Paul Carter,10,255.0
1231,2024-01-20,C023,Sofía Aguilar,5,1499.95
1232,2024-03-27,C009,Isabel Ruiz,10,990.0
1233,2024-02-14,C047,Paula Vivas,2,499.98
1234,2024-01-14,C047,Paula Vivas,1,299.99
1235,2024-03-10,C001,Ana Martínez,2,51.0
1236,2024-01-22,C044,Chris Butler,1,35.99
1237,2024-03-03,C027,Lorena Ramos,5,179.95000000000002
1238,2024-02-19,C012,Michael Davis,7,2099.9300000000003
1239,2024-02-24,C022,David Miller,8,159.92
1240,2024-01-21,C010,Carlos Montes,6,239.94
1241,2024-02-11,C029,Beatriz Delgado,1,19.99
1242,2024-02-28,C016,George Hill,7,1189.93
1243,2024-02-05,C040,Joseph Edwards,4,999.96
1244,2024-03-05,C023,Sofía Aguilar,6,4794.0
1245,2024-03-10,C011,Nicole Díaz,9,112.5
1246,2024-03-04,C028,Arthur Wright,9,323.91
1247,2024-02-29,C003,María Gutiérrez,3,107.97
1248,2024-01-16,C007,Karen Soto,6,1794.0
1249,2024-01-16,C018,Raymond Green,5,1999.95
1250,2024-01-24,C035,Luciana Ramos,1,799.0
1251,2024-01-30,C022,David Miller,10,149.9
1252,2024-02-09,C031,Nuria Sandoval,6,75.0
1253,2024-03-28,C033,Melissa Woods,1,399.99
1254,2024-01-19,C046,Louis Kelly,9,89.91
1255,2024-03-10,C042,Ethan Perry,1,59.99
1256,2024-02-14,C006,Juan López,8,479.92
1257,2024-01-20,C003,María Gutiérrez,5,127.5
1258,2024-03-05,C016,George Hill,7,251.93
1259,2024-03-20,C007,Karen Soto,1,299.99
1260,2024-01-08,C028,Arthur Wright,10,125.0
1261,2024-03-07,C047,Paula Vivas,7,279.93
1262,2024-01-01,C017,Lucía Ortiz,1,399.99
1263,2024-01-25,C036,Ryan Hughes,6,899.94
1264,2024-02-26,C004,James Johnson,10,2990.0
1265,2024-02-02,C041,Elisa Méndez,3,449.97
1266,2024-02-16,C012,Michael Davis,2,1598.0
1267,2024-02-25,C010,Carlos Montes,9,3599.91
1268,2024-02-18,C037,Cecilia Díaz,1,14.99
1269,2024-03-15,C048,Steven Howard,8,3199.92
1270,2024-03-06,C048,Steven Howard,10,359.90000000000003
1271,2024-01-08,C012,Michael Davis,3,897.0
1272,2024-03-06,C029,Beatriz Delgado,2,39.98
1273,2024-03-19,C041,Elisa Méndez,10,1499.9
1274,2024-02-29,C039,Valeria Vidal,5,299.95
1275,2024-03-12,C013,Patricia Sánchez,10,1499.9
1276,2024-03-05,C026,Aaron Stewart,7,139.92999999999998
1277,2024-01-16,C033,Melissa Woods,1,169.99
1278,2024-03-03,C036,Ryan Hughes,6,4794.0
1279,2024-01-06,C028,Arthur Wright,9,1079.9099999999999
1280,2024-03-26,C007,Karen Soto,4,679.96
1281,2024-03-01,C034,Andrés Flores,9,323.91
1282,2024-03-01,C002,John Smith,8,287.92
1283,2024-03-08,C037,Cecilia Díaz,2,119.98
1284,2024-03-07,C022,David Miller,5,3995.0
1285,2024-01-27,C047,Paula Vivas,5,74.95
1286,2024-02-01,C004,James Johnson,4,39.96
1287,2024-02-28,C050,Miguel Cook,6,719.9399999999999
1288,2024-02-28,C032,Jorge Collins,2,598.0
1289,2024-01-09,C016,George Hill,1,99.0
1290,2024-03-09,C024,Paul Carter,2,31.98
1291,2024-02-16,C021,Adriana Román,4,396.0
1292,2024-02-21,C040,Joseph Edwards,9,1349.91
1293,2024-01-27,C010,Carlos Montes,2,239.98
1294,2024-01-22,C019,Karina Vega,10,125.0
1295,2024-01-15,C020,Henry Phillips,3,107.97
1296,2024-02-14,C050,Miguel Cook,2,39.98
1297,2024-02-12,C004,James Johnson,3,449.97
1298,2024-01-01,C014,Daniel Walker,7,2799.9300000000003
1299,2024-01-19,C029,Beatriz Delgado,8,6392.0
1300,2024-02-28,C011,Nicole Díaz,4,1196.0
1301,2024-01-28,C038,Tom Sanders,6,359.94
1302,2024-01-04,C048,Steven Howard,1,99.0
1303,2024-01-15,C018,Raymond Green,3,47.97
1304,2024-03-18,C023,Sofía Aguilar,9,3599.91
1305,2024-02-17,C040,Joseph Edwards,2,359.98
1306,2024-03-04,C003,María Gutiérrez,6,4794.0
1307,2024-03-10,C049,Rebeca Ponce,1,299.0
1308,2024-01-16,C017,Lucía Ortiz,4,39.96
1309,2024-02-14,C039,Valeria Vidal,4,999.96
1310,2024-01-27,C019,Karina Vega,5,299.95
1311,2024-01-25,C040,Joseph Edwards,5,179.95000000000002
1312,2024-03-14,C013,Patricia Sánchez,5,79.95
1313,2024-03-14,C028,Arthur Wright,6,153.0
1314,2024-02-02,C026,Aaron Stewart,5,1999.95
1315,2024-02-13,C003,María Gutiérrez,8,159.92
1316,2024-02-22,C024,Paul Carter,8,1199.92
1317,2024-03-29,C005,Diana Palacios,1,39.99
1318,2024-02-26,C002,John Smith,10,1799.9
1319,2024-02-01,C028,Arthur Wright,4,102.0
1320,2024-01-19,C018,Raymond Green,4,59.96
1321,2024-02-02,C047,Paula Vivas,3,44.97
1322,2024-03-26,C037,Cecilia Díaz,5,3995.0
1323,2024-02-11,C022,David Miller,9,891.0
1324,2024-03-19,C029,Beatriz Delgado,6,4794.0
1325,2024-01-01,C050,Miguel Cook,5,79.95
1326,2024-02-29,C037,Cecilia Díaz,10,359.90000000000003
1327,2024-01-20,C040,Joseph Edwards,2,39.98
1328,2024-03-06,C030,Eduardo Freeman,1,799.0
1329,2024-02-09,C012,Michael Davis,10,1799.9
1330,2024-03-02,C016,George Hill,2,79.98
1331,2024-03-08,C026,Aaron Stewart,10,99.9
1332,2024-03-03,C021,Adriana Román,8,119.92
1333,2024-02-17,C047,Paula Vivas,9,2249.91
1334,2024-02-10,C017,Lucía Ortiz,7,279.93
1335,2024-01-05,C038,Tom Sanders,10,990.0
1336,2024-01-13,C023,Sofía Aguilar,9,1529.91
1337,2024-03-22,C002,John Smith,3,509.97
1338,2024-02-27,C045,Carmen Reyes,3,359.96999999999997
1339,2024-02-29,C027,Lorena Ramos,5,899.95
1340,2024-02-22,C015,Sonia Reyes,1,149.99
1341,2024-03-10,C044,Chris Butler,5,199.95000000000002
1342,2024-03-02,C031,Nuria Sandoval,8,1359.92
1343,2024-03-20,C035,Luciana Ramos,1,399.99
1344,2024-03-14,C035,Luciana Ramos,1,59.99
1345,2024-01-05,C022,David Miller,5,299.95
1346,2024-03-30,C020,Henry Phillips,6,2399.94
1347,2024-01-06,C041,Elisa Méndez,8,1199.92
1348,2024-01-14,C036,Ryan Hughes,9,1619.91
1349,2024-03-10,C023,Sofía Aguilar,1,59.99
1350,2024-03-01,C007,Karen Soto,2,119.98
1351,2024-01-16,C002,John Smith,1,299.0
1352,2024-02-25,C041,Elisa Méndez,5,1249.95
1353,2024-03-12,C023,Sofía Aguilar,7,111.93
1354,2024-03-22,C045,Carmen Reyes,10,1799.9
1355,2024-01-31,C037,Cecilia Díaz,5,1249.95
1356,2024-03-30,C031,Nuria Sandoval,3,897.0
1357,2024-03-21,C008,Robert Brown,5,749.95
1358,2024-03-22,C019,Karina Vega,9,112.5
1359,2024-01-15,C031,Nuria Sandoval,1,299.99
1360,2024-03-03,C025,Elena Torres,10,3999.9
1361,2024-01-03,C028,Arthur Wright,9,1619.91
1362,2024-02-29,C005,Diana Palacios,10,359.90000000000003
1363,2024-02-23,C037,Cecilia Díaz,9,229.5
1364,2024-02-21,C011,Nicole Díaz,4,679.96
1365,2024-02-24,C002,John Smith,8,100.0
1366,2024-02-12,C050,Miguel Cook,2,39.98
1367,2024-01-25,C030,Eduardo Freeman,1,179.99
1368,2024-02-29,C005,Diana Palacios,10,1799.9
1369,2024-02-14,C030,Eduardo Freeman,4,159.96
1370,2024-01-26,C012,Michael Davis,4,39.96
1371,2024-02-16,C001,Ana Martínez,4,479.96
1372,2024-02-17,C049,Rebeca Ponce,1,14.99
1373,2024-01-23,C036,Ryan Hughes,5,495.0
1374,2024-01-26,C048,Steven Howard,2,19.98
1375,2024-02-28,C005,Diana Palacios,1,299.99
1376,2024-01-20,C028,Arthur Wright,5,127.5
1377,2024-01-12,C044,Chris Butler,2,598.0
1378,2024-01-16,C007,Karen Soto,7,693.0
1379,2024-01-01,C047,Paula Vivas,7,419.93
1380,2024-01-04,C049,Rebeca Ponce,8,119.92
1381,2024-01-07,C034,Andrés Flores,3,509.97
1382,2024-03-11,C049,Rebeca Ponce,10,1699.9
1383,2024-01-26,C030,Eduardo Freeman,9,89.91
1384,2024-01-29,C023,Sofía Aguilar,1,19.99
1385,2024-02-25,C041,Elisa Méndez,7,5593.0
1386,2024-03-04,C012,Michael Davis,8,479.92
1387,2024-02-10,C023,Sofía Aguilar,3,509.97
1388,2024-02-21,C013,Patricia Sánchez,3,297.0
1389,2024-02-03,C043,Raquel Martín,8,2399.92
1390,2024-02-15,C011,Nicole Díaz,6,1499.94
1391,2024-03-12,C010,Carlos Montes,9,229.5
1392,2024-03-30,C028,Arthur Wright,9,143.91
1393,2024-01-01,C026,Aaron Stewart,4,79.96
1394,2024-03-09,C037,Cecilia Díaz,4,1199.96
1395,2024-02-23,C018,Raymond Green,5,62.5
1396,2024-01-28,C021,Adriana Román,3,1199.97
1397,2024-01-05,C040,Joseph Edwards,6,75.0
1398,2024-03-04,C019,Karina Vega,5,299.95
1399,2024-02-01,C031,Nuria Sandoval,10,1799.9
1400,2024-01-18,C034,Andrés Flores,7,1749.93
1401,2024-01-02,C013,Patricia Sánchez,7,69.93
1402,2024-03-23,C043,Raquel Martín,4,63.96
1403,2024-01-02,C003,María Gutiérrez,2,499.98
1404,2024-03-04,C022,David Miller,3,749.97
1405,2024-02-02,C002,John Smith,6,239.94
1406,2024-01-30,C047,Paula Vivas,7,178.5
1407,2024-02-28,C002,John Smith,6,719.9399999999999
1408,2024-03-27,C014,Daniel Walker,8,959.92
1409,2024-01-14,C007,Karen Soto,5,749.95
1410,2024-01-07,C024,Paul Carter,4,79.96
1411,2024-03-24,C040,Joseph Edwards,10,599.9
1412,2024-01-09,C014,Daniel Walker,10,99.9
1413,2024-01-03,C016,George Hill,5,49.95
1414,2024-01-01,C049,Rebeca Ponce,9,2691.0
1415,2024-01-10,C023,Sofía Aguilar,7,251.93
1416,2024-02-27,C027,Lorena Ramos,3,107.97
1417,2024-01-11,C005,Diana Palacios,6,1019.94
1418,2024-01-06,C030,Eduardo Freeman,7,419.93
1419,2024-03-10,C008,Robert Brown,10,149.9
1420,2024-03-05,C050,Miguel Cook,8,1439.92
1421,2024-02-03,C036,Ryan Hughes,8,100.0
1422,2024-03-04,C011,Nicole Díaz,4,143.96
1423,2024-02-21,C017,Lucía Ortiz,2,79.98
1424,2024-01-12,C040,Joseph Edwards,5,74.95
1425,2024-03-19,C015,Sonia Reyes,2,19.98
1426,2024-03-18,C044,Chris Butler,1,39.99
1427,2024-02-29,C037,Cecilia Díaz,9,1529.91
1428,2024-01-27,C008,Robert Brown,1,119.99
1429,2024-03-23,C041,Elisa Méndez,6,215.94
1430,2024-01-23,C049,Rebeca Ponce,6,1079.94
1431,2024-03-28,C020,Henry Phillips,6,359.94
1432,2024-01-18,C034,Andrés Flores,2,79.98
1433,2024-02-25,C029,Beatriz Delgado,3,2397.0
1434,2024-01-04,C021,Adriana Román,8,2399.92
1435,2024-03-21,C029,Beatriz Delgado,2,339.98
1436,2024-01-09,C015,Sonia Reyes,3,2397.0
1437,2024-03-12,C011,Nicole Díaz,4,143.96
1438,2024-02-01,C033,Melissa Woods,1,35.99
1439,2024-03-11,C036,Ryan Hughes,10,1699.9
1440,2024-03-13,C043,Raquel Martín,4,50.0
1441,2024-03-20,C035,Luciana Ramos,8,1359.92
1442,2024-03-21,C003,María Gutiérrez,3,76.5
1443,2024-03-17,C037,Cecilia Díaz,5,74.95
1444,2024-03-31,C044,Chris Butler,4,599.96
1445,2024-03-30,C043,Raquel Martín,4,50.0
1446,2024-02-07,C018,Raymond Green,10,149.9
1447,2024-01-16,C026,Aaron Stewart,1,59.99
1448,2024-03-24,C015,Sonia Reyes,3,449.97
1449,2024-03-05,C032,Jorge Collins,7,2093.0
1450,2024-01-25,C016,George Hill,3,749.97
1451,2024-01-27,C038,Tom Sanders,4,1199.96
1452,2024-02-17,C040,Joseph Edwards,6,239.94
1453,2024-03-22,C030,Eduardo Freeman,3,509.97
1454,2024-03-17,C047,Paula Vivas,6,95.94
1455,2024-01-20,C044,Chris Butler,5,495.0
1456,2024-03-11,C033,Melissa Woods,10,599.9
1457,2024-03-17,C042,Ethan Perry,10,99.9
1458,2024-02-06,C024,Paul Carter,8,204.0
1459,2024-02-05,C040,Joseph Edwards,4,39.96
1460,2024-01-21,C001,Ana Martínez,1,179.99
1461,2024-01-04,C036,Ryan Hughes,3,179.97
1462,2024-02-24,C022,David Miller,1,39.99
1463,2024-03-22,C017,Lucía Ortiz,7,251.93
1464,2024-01-06,C026,Aaron Stewart,9,2691.0
1465,2024-01-15,C017,Lucía Ortiz,10,1699.9
1466,2024-03-31,C035,Luciana Ramos,3,119.97
1467,2024-02-27,C034,Andrés Flores,4,396.0
1468,2024-03-20,C008,Robert Brown,6,1079.94
1469,2024-01-18,C015,Sonia Reyes,3,59.97
1470,2024-01-17,C038,Tom Sanders,1,99.0
1471,2024-03-09,C038,Tom Sanders,1,119.99
1472,2024-01-01,C017,Lucía Ortiz,2,1598.0
1473,2024-03-20,C013,Patricia Sánchez,1,299.0
1474,2024-03-19,C042,Ethan Perry,8,287.92
1475,2024-02-09,C022,David Miller,1,15.99
1476,2024-02-27,C049,Rebeca Ponce,8,959.92
1477,2024-02-19,C024,Paul Carter,2,19.98
1478,2024-02-02,C023,Sofía Aguilar,6,1794.0
1479,2024-01-12,C048,Steven Howard,7,839.93
1480,2024-01-28,C033,Melissa Woods,1,12.5
1481,2024-02-10,C041,Elisa Méndez,3,539.97
1482,2024-01-23,C013,Patricia Sánchez,10,2990.0
1483,2024-02-07,C014,Daniel Walker,7,1189.93
1484,2024-03-09,C029,Beatriz Delgado,8,479.92
1485,2024-02-04,C036,Ryan Hughes,4,79.96
1486,2024-03-20,C042,Ethan Perry,7,1259.93
1487,2024-03-23,C016,George Hill,2,598.0
1488,2024-02-07,C031,Nuria Sandoval,3,297.0
1489,2024-03-02,C048,Steven Howard,5,1495.0
1490,2024-03-09,C023,Sofía Aguilar,2,29.98
1491,2024-02-12,C021,Adriana Román,10,990.0
1492,2024-01-21,C008,Robert Brown,8,1999.92
1493,2024-03-18,C037,Cecilia Díaz,5,299.95
1494,2024-01-15,C017,Lucía Ortiz,6,1799.94
1495,2024-01-24,C040,Joseph Edwards,1,249.99
1496,2024-03-10,C026,Aaron Stewart,2,31.98
1497,2024-01-28,C004,James Johnson,4,479.96
1498,2024-01-05,C024,Paul Carter,8,1359.92
1499,2024-01-03,C032,Jorge Collins,10,1699.9
1500,2024-02-04,C012,Michael Davis,4,239.96
1501,2024-01-06,C040,Joseph Edwards,10,1699.9
1502,2024-01-07,C026,Aaron Stewart,1,99.0
1503,2024-03-28,C022,David Miller,5,1499.95
1504,2024-01-14,C021,Adriana Román,3,297.0
